id,name,popularity,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6XXxKsu3RJeN3ZvbMYrgQW,16 CARRIAGES,82,COWBOY CARTER,0.525,0.456,1,-7.042,1,0.0798,0.382,0.0,0.167,0.342,126.691,audio_features,spotify:track:6XXxKsu3RJeN3ZvbMYrgQW,https://api.spotify.com/v1/tracks/6XXxKsu3RJeN3ZvbMYrgQW,https://api.spotify.com/v1/audio-analysis/6XXxKsu3RJeN3ZvbMYrgQW,227250,4
0K9tfzrxJyCQIf7oAlPwaK,YA YA,83,COWBOY CARTER,0.617,0.904,11,-5.371,1,0.341,0.317,0.0,0.507,0.764,151.926,audio_features,spotify:track:0K9tfzrxJyCQIf7oAlPwaK,https://api.spotify.com/v1/tracks/0K9tfzrxJyCQIf7oAlPwaK,https://api.spotify.com/v1/audio-analysis/0K9tfzrxJyCQIf7oAlPwaK,274766,4
3OxL6MuctgZp1e0zxoAZhH,Young Metro,86,WE DON'T TRUST YOU,0.716,0.664,6,-7.297,0,0.0571,0.11,0.0,0.11,0.209,112.054,audio_features,spotify:track:3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/tracks/3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/audio-analysis/3OxL6MuctgZp1e0zxoAZhH,205347,4
6tNgRQ0K2NYZ0Rb9l9DzL8,obsessed,89,GUTS (spilled),0.683,0.587,8,-5.094,1,0.0915,0.0219,0.0,0.305,0.697,119.985,audio_features,spotify:track:6tNgRQ0K2NYZ0Rb9l9DzL8,https://api.spotify.com/v1/tracks/6tNgRQ0K2NYZ0Rb9l9DzL8,https://api.spotify.com/v1/audio-analysis/6tNgRQ0K2NYZ0Rb9l9DzL8,170542,4
4dsdSwSdBWjlsVzU6iJs3b,PROTECTOR,81,COWBOY CARTER,0.377,0.33,8,-9.476,1,0.0525,0.861,0.0,0.318,0.574,84.624,audio_features,spotify:track:4dsdSwSdBWjlsVzU6iJs3b,https://api.spotify.com/v1/tracks/4dsdSwSdBWjlsVzU6iJs3b,https://api.spotify.com/v1/audio-analysis/4dsdSwSdBWjlsVzU6iJs3b,184400,4
1pnDvUuAEd6z8bKEsbAjk1,We Don't Trust You,87,WE DON'T TRUST YOU,0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,audio_features,spotify:track:1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/audio-analysis/1pnDvUuAEd6z8bKEsbAjk1,226213,4
5mUlozUYpdmXVPkj4BW8cA,TYRANT,82,COWBOY CARTER,0.751,0.648,6,-4.21,1,0.183,0.083,0.0,0.585,0.813,126.032,audio_features,spotify:track:5mUlozUYpdmXVPkj4BW8cA,https://api.spotify.com/v1/tracks/5mUlozUYpdmXVPkj4BW8cA,https://api.spotify.com/v1/audio-analysis/5mUlozUYpdmXVPkj4BW8cA,250725,4
4OMJGnvZfDvsePyCwRGO7X,Houdini,92,Houdini,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918,4
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,85,Gettin' Old,0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,audio_features,spotify:track:0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/tracks/0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/audio-analysis/0eBFgRxyVSeuT4iyrbukdn,239533,4
09hVlIVHtEE1nLUv6YGZiW,Burn It Down,70,Never Enough,0.461,0.718,2,-5.627,1,0.0666,0.139,1.66e-05,0.0968,0.334,162.187,audio_features,spotify:track:09hVlIVHtEE1nLUv6YGZiW,https://api.spotify.com/v1/tracks/09hVlIVHtEE1nLUv6YGZiW,https://api.spotify.com/v1/audio-analysis/09hVlIVHtEE1nLUv6YGZiW,233869,4
0QosomGFiJYOxj2ViZfqng,Selfish,81,Selfish,0.69,0.543,1,-6.752,1,0.0364,0.0723,0.0291,0.0873,0.376,88.004,audio_features,spotify:track:0QosomGFiJYOxj2ViZfqng,https://api.spotify.com/v1/tracks/0QosomGFiJYOxj2ViZfqng,https://api.spotify.com/v1/audio-analysis/0QosomGFiJYOxj2ViZfqng,229332,4
